ComicID,Title,Issue_Num,Issue_Date,Issue_Year,Publisher,Country,ArtComments,KeyComments,Label_Category,POP_0_5,POP_1_0,POP_1_5,POP_1_8,POP_2_0,POP_2_5,POP_3_0,POP_3_5,POP_4_0,POP_4_5,POP_5_0,POP_5_5,POP_6_0,POP_6_5,POP_7_0,POP_7_5,POP_8_0,POP_8_5,POP_9_0,POP_9_2,POP_9_4,POP_9_6,POP_9_8,POP_9_9,POP_10_0,CG_POP_TOTAL
9019494,G-8 and His Battle Aces,30,Mar-36,1936,Popular, ,Cover by Frederick Blakeslee Robert J. Hogan story John Fleming Gould art,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9019551,G-8 and His Battle Aces,87,Dec-40,1940,Popular, ,Cover by Frederick Blakeslee  ,  ,Universal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9020442,G-Men Detective,64,Nov-41,1941,Standard, ,Fredric Brown story  ,Address by J. Edgar Hoover. Nazi cover. ,Universal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9020453,G-Men Detective,75,Winter 1944,1944,Standard, ,Rudolph Belarski cover  ,Swaztika skeleton cover.  ,Universal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9020457,G-Men Detective,79,Winter 1945,1945,Standard, ,Cover by Rudolph Belarski  ,Hooded skeleton cover.  ,Universal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9020224,Ghost Stories,5,Nov-26,1926,Macfadden, ,Agatha Christie story  ,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9021820,Horror Stories,1,Jan-35,1935,Popular, ,John Newton Howitt cover Amos Sewell art ,  ,Universal,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9021829,Horror Stories,10,Dec-35,1935,Popular, ,Cover by John Newton Howitt  ,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9021830,Horror Stories,11,February/March 1936,1936,Popular, ,Cover by John Newton Howitt  ,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9021831,Horror Stories,12,April/May 1936,1936,Popular, ,Cover by John Newton Howitt Ray Cummings story Amos Sewell art,  ,Universal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9021832,Horror Stories,13,June/July 1936,1936,Popular, ,John Newton Howitt cover John Knox & Arthur J Burks story Pete Castanza & Amos Sewell art,  ,Universal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
9021833,Horror Stories,14,Aug/Sept 1936,1936,Popular, ,Cover by John Drew Ray Cummings story Amos Sewell art,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9021834,Horror Stories,15,Oct/Nov 1936,1936,Popular, ,Cover by John Newton Howitt Hugh B. Cave story Amos Sewell art,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9021835,Horror Stories,16,Dec/Jan 1937,1937,Popular, ,Cover by David Berger Ray Cummings story ,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9021836,Horror Stories,17,February/March 1937,1937,Popular, ,John Drew cover Ray Cummings story Amos Sewell art,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9021837,Horror Stories,18,April/May 1937,1937,Popular, ,Cover by John Drew Norvell W. Page story Ralph Carlson & Monroe Eisenberg art,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
9021838,Horror Stories,19,June/July 1937,1937,Popular, ,Cover by William F. Soare Ray Cummings story ,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9021821,Horror Stories,2,Feb-35,1935,Popular, ,"Cover by Rudolph W. Zirm Ray Cummings, Hugh B. Cave stories Amos Sewell art",  ,Universal,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
9021840,Horror Stories,21,Oct/Nov 1937,1937,Popular, ,  ,  ,Universal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9021847,Horror Stories,28,Dec/Jan 1939,1939,Popular, ,  ,  ,Universal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9021848,Horror Stories,29,February/March 1939,1939,Popular, ,Cover by John Drew Ray Cummings story ,  ,Universal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9021822,Horror Stories,3,Mar-35,1935,Popular, ,"Cover by Charles L. Wrenn Norvell W. Page, Hugh B. Cave stories Amos Sewell art",  ,Universal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9021850,Horror Stories,31,June/July 1939,1939,Popular, ,  ,  ,Universal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9021851,Horror Stories,32,Aug/Sept 1939,1939,Popular, ,Ray Cummings & Cornell Woolrich stories  ,  ,Universal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9021856,Horror Stories,37,Aug-40,1940,Popular, ,Cover by John Drew  ,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9021857,Horror Stories,38,Oct-40,1940,Popular, ,Cover by John Drew Ray Cummings story ,  ,Universal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9021823,Horror Stories,4,Jun-35,1935,Popular, ,Cover by John Newton Howitt  ,  ,Universal,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
9021860,Horror Stories,41,Apr-41,1941,Popular, ,Ray Cummings story  ,Last issue.  ,Universal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9021826,Horror Stories,7,Sep-35,1935,Popular, ,Cover by John Newton Howitt Hugh B. Cave story ,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9021827,Horror Stories,8,Oct-35,1935,Popular, ,"Cover by John Newton Howitt Hugh B. Cave, Norvell W. Page stories ",  ,Universal,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
9021828,Horror Stories,9,Nov-35,1935,Popular, ,Cover by John Newton Howitt  ,  ,Universal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5010840,Imagination: Stories of Science and Fantasy,v1 #1,Oct-50,1950,Clark Publishing Company, ,"Geier, Neville, Phillips, Hawkins & Ludwig stories ",Hannes Bok cover Bill Terry art ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5010841,Imagination: Stories of Science and Fantasy,v1 #2,Dec-50,1950,Clark Publishing Company, ,"Archette, Beynon, Reynolds, Keene, Lesser, Curtis & McGreevey stories ",Harold McCauley cover  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5012140,Jesse James Stories,1,Dec-38,1938,Street & Smith Pub., ,  ,Reprints Jesse James Stories #1 from 1901 by W.B. Lawson ,Universal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111021,Jesse James Stories,1,Dec-38,1938,Street & Smith Pub., ,W.B. Lawson story  ,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
